



>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-lib 1.2.5-2
alsa-topology-conf 1.2.5-1
alsa-ucm-conf 1.2.5-2
alsa-utils 1.2.5-3
aom 3.1.1-1
archlinux-keyring 20210110-1
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.2-1
atk 2.36.0-1
attr 2.5.1-1
audit 3.0.1-1
avahi 0.8+20+gd1e71b3-1
base 2-2
bash 5.1.008-1
bcg729 1.1.1-1
bind 9.16.16-1
bluez-libs 5.59-1
boost-libs 1.76.0-1
box2d 2.4.1-1
brotli 1.0.9-4
btrfs-progs 5.12.1-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.67-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cantarell-fonts 1:0.301-1
cdparanoia 10.2-8
chromium 91.0.4472.101-1
cinnamon-desktop 5.0.0-1
clucene 2.3.3.4-11
code 1.56.2-2
colord 1.4.5-4
confuse 3.3-3
coreutils 8.32-1
cryptsetup 2.3.6-1
curl 7.77.0-1
dav1d 0.9.0-1
db 5.3.28-5
dbus 1.12.20-1
dbus-python 1.2.16-4
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dialog 1:1.3_20210530-1
diffutils 3.7-3
djvulibre 3.5.28-3
dmenu 5.0-1
dmraid 1.0.0.rc16.3-13
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
e2fsprogs 1.46.2-1
efibootmgr 17-2
efivar 37-4
electron 12.0.9-1
emacs 27.2-1
enchant 2.2.15-4
evince 40.2-1
exempi 2.5.2-1
expat 2.4.1-1
faad2 2.10.0-1
feh 3.7-1
ffmpeg 2:4.4-4
file 5.40-5
filesystem 2021.05.31-1
findutils 4.8.0-1
flac 1.3.3-3
fontconfig 2:2.13.93-4
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.4-1
fuse2 2.9.9-4
fuse3 3.10.4-1
gawk 5.1.0-1
gc 8.0.4-4
gcc-libs 11.1.0-1
gcr 3.40.0-1
gd 2.3.2-2
gdbm 1.19-2
gdk-pixbuf2 2.42.6-1
geoclue 2.5.7-3
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.54.0-2
giblib 1.2.4-8
giflib 5.2.1-2
git 2.32.0-1
glib-networking 1:2.68.1-1
glib2 2.68.3-1
glibc 2.33-5
glslang 11.4.0-1
gmp 6.2.1-1
gnome-desktop 1:40.2-1
gnupg 2.2.27-1
gnuplot 5.4.2-1
gnutls 3.7.2-2
gobject-introspection-runtime 1.68.0-1
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.8-1
gradle 7.0.2-1
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.06-1
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsm 1.0.19-1
gspell 1.8.4-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gstreamer 1.18.4-1
gtk-update-icon-cache 1:4.2.1-2
gtk3 1:3.24.29-2
guile 2.2.7-1
gvfs 1.48.1-1
gvfs-mtp 1.48.1-1
gzip 1.10-3
harfbuzz 2.8.1-1
harfbuzz-icu 2.8.1-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hunspell 1.7.0-3
hwids 20201207-1
hyphen 2.8.8-3
i3-wm 4.19.2-1
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.13-3
iana-etc 20210202-1
icu 69.1-1
ijs 0.35-3
imlib2 1.7.1-1
intel-ucode 20210608-1
iproute2 5.12.0-1
iptables 1:1.8.7-1
iputils 20210202-1
ipython 7.24.1-1
iso-codes 4.6.0-1
jack 0.125.0-9
jansson 2.13.1-1
java-environment-common 3-3
java-runtime-common 3-3
java11-openjfx 11.0.10.u1-1
jbig2dec 0.19-1
jdk11-openjdk 11.0.11.u9-1
jre11-openjdk 11.0.11.u9-1
jre11-openjdk-headless 11.0.11.u9-1
js78 78.11.0-1
json-c 0.15-1
json-glib 1.6.2-1
kbd 2.4.0-2
